External ID,Location/Display Name,Product/Internal Reference,Product/Name,Product/Internal Category/Name,Quantity,Reserved Quantity
__export__.stock_quant_364442_0435a023,AMPRU/Stock,AMP-CE10U-10,Конденсаторы электролитические 10 мкФ (10 шт.),Saleable,63,0
__export__.stock_quant_364599_00c41486,AMPRU/Stock,AMP-S013,Образовательный набор «Амперка»,Saleable,5,5
__export__.stock_quant_364602_3bdbc9b1,AMPRU/Stock,AMP-S026,Робоняша,Saleable,1,1
__export__.stock_quant_364610_3d9002a4,AMPRU/Stock,SEN0161,pH-метр для воды DFRobot,Saleable,16,0
__export__.stock_quant_367175_799dfedf,AMPRU/Stock,2500MHAA-1,Аккумулятор NiMH AA 2500 мАч,Saleable,86,0
__export__.stock_quant_367649_31f694e6,AMPRU/Stock,AMP-X645,Дальномер Benewake TF02-Pro LiDAR,Saleable,14,10
__export__.stock_quant_367650_3b952b5a,AMPRU/Stock,AMP-X236,Уплотнительное кольцо (3 мм),Saleable,37,0
__export__.stock_quant_369908_1887f1c3,AMPRU/Stock,AMP-X376,Переходник HDMI-microHDMI,Saleable,6,0
__export__.stock_quant_371616_a0a1cc48,AMPRU/Stock,AMP-B007,Датчик Холла (Troyka-модуль),Saleable,108,1
__export__.stock_quant_371779_0d5fc10b,AMPRU/Stock,AMP-X623,PETG-пластик eSUN / жёлтый,Saleable,1,0
__export__.stock_quant_372813_13c040fa,AMPRU/Stock,AMP-X295,Алюминиевые радиаторы охлаждения для Raspberry Pi (2 шт.),Saleable,19,1
__export__.stock_quant_373706_8a18dd57,AMPRU/Stock,AMP-S034,Tetra,Retirement,8,7
__export__.stock_quant_374962_96aa7edd,AMPRU/Stock,AMP-X106,Аналого-цифровой преобразователь MCP3008-I/P,Saleable,5,0
__export__.stock_quant_375315_83aa1461,AMPRU/Stock,AMP-X546,Плата расширения Nextion I/O,Saleable,10,0
__export__.stock_quant_375319_fd9591d6,AMPRU/Stock,AMP-V16595,Raspberry Pi Ethernet / USB HUB HAT,Saleable,14,0
__export__.stock_quant_375898_47377224,AMPRU/Stock,AMP-X523,Медный радиатор охлаждения для Raspberry Pi,Saleable,25,0
__export__.stock_quant_376056_bc42a99b,AMPRU/Stock,AMP-X224,Герметичный корпус 115×65×40,Saleable,7,0
__export__.stock_quant_376352_2d09120c,AMPRU/Stock,AMP-X157,Погружная помпа с трубкой,Saleable,1,0
__export__.stock_quant_376728_f65111d5,AMPRU/Stock,AMP-X218,Цветная адресуемая светодиодная лента WS2811,Saleable,9,0
__export__.stock_quant_376740_d16182b8,AMPRU/Stock,AMP-X328,Эталонный монетоприёмник,Saleable,6,0
__export__.stock_quant_377022_f7569791,AMPRU/Stock,AMP-X582,PLA-пластик FDplast / белый,Saleable,27,0
__export__.stock_quant_377319_a00c464a,AMPRU/Stock,AMP-X145,Герметичный датчик температуры DS18B20,Saleable,18,0
__export__.stock_quant_377728_b91dd328,AMPRU/Stock,AMP-E029,Объектив CGL 16 мм с креплением C-mount,Saleable,8,0
__export__.stock_quant_378476_04990b4b,AMPRU/Stock,AMP-F001-U2,Микросервопривод Feetech FS90 / 180°,Saleable,21,0
__export__.stock_quant_379451_8c427999,AMPRU/Stock,AMP-X119,Шаговый двигатель 42STH47-0406A,Saleable,10,0
__export__.stock_quant_379567_bda0cfca,AMPRU/Stock,AMP-V19426,Часы реального времени v1 (RTC) для Raspberry Pi Pico,Saleable,6,0
__export__.stock_quant_379815_b050e324,AMPRU/Stock,AMP-E042,Raspberry Pi PoE+ HAT,Saleable,1,0
__export__.stock_quant_380214_4d44bba1,AMPRU/Stock,AMP-W040,"Монтажный провод НВ-4 (0,35 мм², 10 м, жёлтый)",Saleable,7,0
__export__.stock_quant_380215_fa992fda,AMPRU/Stock,AMP-W041,"Монтажный провод НВ-4 (0,35 мм², 10 м, зелёный)",Saleable,16,0
__export__.stock_quant_381089_846d7f37,AMPRU/Stock,ISBN-3863-3,От Arduino до Omega: платформы для мейкеров шаг за шагом,Saleable,13,0
__export__.stock_quant_381091_d54b3d25,AMPRU/Stock,ISBN-3596-0,"Электроника: логические микросхемы, усилители и датчики для начинающих",Saleable,1,0
__export__.stock_quant_381092_81a51e1d,AMPRU/Stock,ISBN-3861-9,Мобильные роботы на базе Arduino,Saleable,22,0
__export__.stock_quant_383171_1a20346e,AMPRU/Stock,AMP-X009-Y4,Светодиоды  жёлтые 5 мм (4 шт.),Saleable,16,0
