"id","location_id/display_name","product_id/default_code","product_id/name","product_id/categ_id/name","quantity","reserved_quantity"
"__export__.stock_quant_360246_606ec261","PS/Prepair","AMP-X202","Датчик потока воды","Saleable","190.0","0.0"
"__export__.stock_quant_360252_de501678","PS/Prepair","AMP-X140-2","Колёса 42×19 мм (пара)","Saleable","227.0","227.0"
"__export__.stock_quant_360344_35940a9e","PS/Kits","AMP-B176-UNB","RPi GPIO Cloud v4_A6","Materials","1051.0","0.0"
"__export__.stock_quant_360421_1f815810","OF/Stock","AMP-CC472-10","Конденсаторы керамические 4,7 нФ (10 шт.)","Saleable","5.0","0.0"
"__export__.stock_quant_360422_ab555a31","OF/Stock","AMP-CC473-10","Конденсаторы керамические 47 нФ (10 шт.)","Saleable","4.0","0.0"
"__export__.stock_quant_360424_911b6cc7","OF/Stock","AMP-F003","Сервопривод постоянного вращения Feetech FS5103R / 360°","Saleable","1.0","0.0"
"__export__.stock_quant_360427_2616f36a","OF/Stock","AMP-M014","Крепления Troyka (#Структор)","Saleable","1.0","0.0"
"__export__.stock_quant_360436_b6345e4d","OF/Stock","AMP-W010","Кабель USB (A — Mini USB)","Saleable","4.0","0.0"
"__export__.stock_quant_360441_458bd172","OF/Stock","AMP-X041","Гнездо питания 2,1 мм с клеммником","Saleable","1.0","0.0"
"__export__.stock_quant_360442_bb5c187f","OF/Stock","AMP-X097","Элемент Пельтье","Saleable","1.0","0.0"
"__export__.stock_quant_360445_764df12b","OF/Stock","AMP-X120","Шаговый двигатель 28STH45-0674A","Saleable","1.0","0.0"
"__export__.stock_quant_360446_94892ffa","OF/Stock","AMP-X125","Резистор давления (12 мм)","Saleable","3.0","0.0"
"__export__.stock_quant_360447_d769b15c","OF/Stock","AMP-X128","Резистор изгиба (95 мм)","Saleable","2.0","0.0"
"__export__.stock_quant_360454_4b666073","OF/Stock","AMP-X224","Герметичный корпус 115×65×40","Saleable","2.0","0.0"
"__export__.stock_quant_360464_3a9b7210","OF/Stock","AMP-X484","Корпус для Raspberry Pi 4 (LT-4A01 / пластик / белый)","Saleable","1.0","0.0"
"__export__.stock_quant_360473_5ca8a5d8","OF/Stock","AMP-X494","Корпус для Raspberry Pi 4 с креплением VESA (LT4B17 / акрил / чёрный)","Saleable","1.0","0.0"
"__export__.stock_quant_360474_4b1c8c2f","OF/Stock","AMP-X496","Корпус для Raspberry Pi 4 с креплением VESA (LT4B17 / акрил / красный)","Saleable","2.0","0.0"
"__export__.stock_quant_360475_8c12c0ed","OF/Stock","AMP-X497","Корпус для Raspberry Pi 4 (LT4B16 / акрил / чёрный)","Saleable","1.0","0.0"
